date,cpi,access_date
2041-11-01,108,2021-05-01
2041-12-01,106.1,2021-05-01
2042-01-01,113.7,2021-05-01
2042-02-01,102.9,2021-05-01
2042-03-01,128.4,2021-05-01
2042-04-01,108.7,2021-05-01
2042-05-01,113.7,2021-05-01
2042-06-01,104.9,2021-05-01
2042-07-01,105.4,2021-05-01
2042-08-01,119.3,2021-05-01
2042-09-01,121.2,2021-05-01
2042-10-01,95.5,2021-05-01
2042-11-01,111.4,2021-05-01
2042-12-01,108.2,2021-05-01
2043-01-01,100.4,2021-05-01
2043-02-01,102.3,2021-05-01
2043-03-01,115.6,2021-05-01
2043-04-01,121.3,2021-05-01
2043-05-01,100.4,2021-05-01
2043-06-01,97.3,2021-05-01
2043-07-01,94.4,2021-05-01
2043-08-01,111.1,2021-05-01
2043-09-01,86.7,2021-05-01
2043-10-01,93.1,2021-05-01
2043-11-01,106.6,2021-05-01
2043-12-01,104.6,2021-05-01
2044-01-01,97.1,2021-05-01
2044-02-01,101.9,2021-05-01
2044-03-01,113,2021-05-01
2044-04-01,111.5,2021-05-01
2044-05-01,101.5,2021-05-01
2044-06-01,98.8,2021-05-01
2044-07-01,108.1,2021-05-01
2044-08-01,107.1,2021-05-01
2044-09-01,95.4,2021-05-01
2044-10-01,90.6,2021-05-01
2044-11-01,109.8,2021-05-01
2044-12-01,101.3,2021-05-01
2045-01-01,96.6,2021-05-01
2045-02-01,104.6,2021-05-01
2045-03-01,117.6,2021-05-01
2045-04-01,106.6,2021-05-01
2045-05-01,117,2021-05-01
2045-06-01,112.9,2021-05-01
2045-07-01,113.6,2021-05-01
2045-08-01,113.8,2021-05-01
2045-09-01,107.4,2021-05-01
2045-10-01,91.5,2021-05-01
2045-11-01,114.1,2021-05-01
2045-12-01,104,2021-05-01
2046-01-01,98.4,2021-05-01
2046-02-01,107.1,2021-05-01
2046-03-01,115.3,2021-05-01
2046-04-01,102.1,2021-05-01
2046-05-01,117.9,2021-05-01
2046-06-01,105.2,2021-05-01
2046-07-01,99.4,2021-05-01
2046-08-01,108.5,2021-05-01
2046-09-01,102.9,2021-05-01
2046-10-01,92.4,2021-05-01
2046-11-01,109.7,2021-05-01
2046-12-01,104,2021-05-01
2047-01-01,98.4,2021-05-01
2047-02-01,105.5,2021-05-01
2047-03-01,120.6,2021-05-01
2047-04-01,120.3,2021-05-01
2047-05-01,117.3,2021-05-01
2047-06-01,115.5,2021-05-01
2047-07-01,112.2,2021-05-01
2047-08-01,119.8,2021-05-01
2047-09-01,100.8,2021-05-01
2047-10-01,93.8,2021-05-01
2047-11-01,114.3,2021-05-01
2047-12-01,116.1,2021-05-01
2048-01-01,90.9,2021-05-01
2048-02-01,105.3,2021-05-01
2048-03-01,117.8,2021-05-01
2048-04-01,120.7,2021-05-01
2048-05-01,111.3,2021-05-01
2048-06-01,109.5,2021-05-01
2048-07-01,107.8,2021-05-01
2048-08-01,98.3,2021-05-01
2048-09-01,101,2021-05-01
2048-10-01,97.2,2021-05-01
2048-11-01,108.5,2021-05-01
2048-12-01,115.6,2021-05-01
2049-01-01,101.1,2021-05-01
2049-02-01,103.1,2021-05-01
2049-03-01,113.2,2021-05-01
2049-04-01,111.7,2021-05-01
2049-05-01,112.1,2021-05-01
2049-06-01,106.3,2021-05-01
2049-07-01,110.1,2021-05-01
2049-08-01,92.5,2021-05-01
2049-09-01,104.6,2021-05-01
2049-10-01,96.4,2021-05-01
2049-11-01,120.3,2021-05-01
2049-12-01,112.7,2021-05-01
